caseID,prefix-length,true-next-activity,pred-next-activity,true-next-time,pred-next-time,true-outcome,pred-outcome,true-cycle-time,pred-cylce-time
12182573,1,6,1,1.7820949074074075,0.1902308033130787,0,3,1.7824189814814815,0.8608208550347223
12182573,2,0,0,0.00032407407407407406,0.0,0,3,1.7824189814814815,1.7820949074074075
12182573,3,18,3,0.0,0.0,0,3,1.7824189814814815,1.7824189814814815
12981403,1,8,1,0.008043981481481482,0.18972902651186344,8,3,0.008043981481481482,0.8612342664930556
12981403,2,18,18,0.0,0.0,8,8,0.008043981481481482,0.008043981481481482
36646199,1,1,1,0.0031134259259259257,0.046223769011320893,0,3,1.1141898148148148,0.7587680844907407
36646199,2,6,1,1.1103935185185185,0.10001818621600116,0,3,1.1141898148148148,0.5223528374565972
36646199,3,0,0,0.0006828703703703704,0.0,0,3,1.1141898148148148,1.1135069444444445
36646199,4,18,3,0.0,0.0,0,3,1.1141898148148148,1.1141898148148148
41027832,1,6,1,1.3516435185185185,0.02884913409197772,0,3,1.3519097222222223,0.36088708948206016
41027832,2,0,0,0.0002662037037037037,0.0,0,3,1.3519097222222223,1.3516435185185185
41027832,3,18,3,0.0,0.0,0,3,1.3519097222222223,1.3519097222222223
41255227,1,1,1,0.004340277777777778,0.04704033745659722,8,3,1.0331481481481481,0.7626756004050926
41255227,2,8,1,1.0288078703703705,0.10416726571542245,8,3,1.0331481481481481,0.8735556821469908
41255227,3,18,18,0.0,0.0,8,8,1.0331481481481481,1.0331481481481481
4380207,1,1,1,0.0026157407407407405,0.0026526094366002965,9,3,0.007581018518518518,0.39533863208912035
4380207,2,1,1,0.00016203703703703703,0.014442385920771846,9,5,0.007581018518518518,0.2064652732566551
4380207,3,9,5,0.004803240740740741,0.012955381605360243,9,3,0.007581018518518518,0.05406325728804977
4380207,4,18,0,0.0,0.0,9,3,0.007581018518518518,0.01017296137633147
33595778,1,2,1,0.8162847222222223,0.17818094889322916,4,3,0.8165509259259259,0.7602943250868055
33595778,2,4,18,0.0002662037037037037,0.0,4,2,0.8165509259259259,0.8162847222222223
33595778,3,18,18,0.0,0.0,4,4,0.8165509259259259,0.8165509259259259
22677895,1,3,1,0.007673611111111111,0.0022788132561577692,4,4,0.008541666666666666,0.02882767288773148
22677895,2,4,4,0.0008680555555555555,0.0,4,3,0.008541666666666666,0.007673611111111111
22677895,3,18,18,0.0,0.0,4,3,0.008541666666666666,0.008541666666666666
5459153,1,6,4,0.0020949074074074073,0.003932241863674588,11,4,0.010972222222222222,0.014754306651927807
5459153,2,4,4,0.0011111111111111111,0.0,11,3,0.010972222222222222,0.0020949074074074073
