caseID,prefix-length,true-next-activity,pred-next-activity,true-next-time,pred-next-time,true-outcome,pred-outcome,true-cycle-time,pred-cylce-time
12182573,1,6,3,1.7820949074074075,0.2739458324291088,0,3,1.7824189814814815,1.1241963252314815
12182573,2,0,0,0.00032407407407407406,0.0,0,3,1.7824189814814815,1.7820949074074075
12182573,3,18,3,0.0,0.0,0,3,1.7824189814814815,1.7847470232292457
12981403,1,8,3,0.008043981481481482,0.26457557960792827,8,3,0.008043981481481482,1.1250842737268518
12981403,2,18,18,0.0,0.0,8,8,0.008043981481481482,0.008043981481481482
36646199,1,1,1,0.0031134259259259257,0.09874979654947917,0,3,1.1141898148148148,0.9377549008969908
36646199,2,6,0,1.1103935185185185,0.035414776272243924,0,3,1.1141898148148148,0.23263310185185185
36646199,3,0,0,0.0006828703703703704,0.0,0,3,1.1141898148148148,1.1193382966076886
36646199,4,18,3,0.0,0.0,0,3,1.1141898148148148,1.1141898148148148
41027832,1,6,1,1.3516435185185185,0.009940852412471064,0,3,1.3519097222222223,0.13875696252893518
41027832,2,0,4,0.0002662037037037037,0.0,0,3,1.3519097222222223,1.358941244902434
41027832,3,18,3,0.0,0.0,0,3,1.3519097222222223,1.356321748804163
41255227,1,1,1,0.004340277777777778,0.1703822609230324,8,0,1.0331481481481481,0.930563331886574
41255227,2,8,1,1.0288078703703705,0.13345208062065972,8,0,1.0331481481481481,1.1971296296296297
41255227,3,18,18,0.0,0.0,8,8,1.0331481481481481,1.0331481481481481
4380207,1,1,1,0.0026157407407407405,0.020928411130551938,9,3,0.007581018518518518,0.5303280526620371
4380207,2,1,1,0.00016203703703703703,0.03125420464409722,9,5,0.007581018518518518,0.32730075412326387
4380207,3,9,1,0.004803240740740741,0.022719297055844908,9,5,0.007581018518518518,0.17549034966362848
4380207,4,18,0,0.0,0.0,9,5,0.007581018518518518,0.007581018518518518
33595778,1,2,1,0.8162847222222223,0.19914060239438658,4,3,0.8165509259259259,0.7082804814091436
33595778,2,4,18,0.0002662037037037037,0.0,4,2,0.8165509259259259,0.8179258544356734
33595778,3,18,18,0.0,0.0039655688956931785,4,4,0.8165509259259259,0.8201971778163204
22677895,1,3,1,0.007673611111111111,0.04674220049822772,4,3,0.008541666666666666,0.158809893572772
22677895,2,4,0,0.0008680555555555555,0.0,4,3,0.008541666666666666,0.007673611111111111
22677895,3,18,18,0.0,0.0008644737137688531,4,3,0.008541666666666666,0.01271399109451859
5459153,1,6,4,0.0020949074074074073,0.018440132141113282,11,4,0.010972222222222222,0.0193229251437717
5459153,2,4,4,0.0011111111111111111,0.005679456569530346,11,4,0.010972222222222222,0.0034923926106205693
5459153,3,11,18,0.007766203703703704,0.0014914606235645435,11,4,0.010972222222222222,0.005148742287247269
5459153,4,18,18,0.0,0.0076576211717393665,11,3,0.010972222222222222,0.011800598215173793
13319973,1,1,1,0.002002314814814815,0.07825701113100406,3,3,0.15403935185185186,0.6480397316261574
13319973,2,3,0,0.15203703703703703,0.019674302560311777,3,3,0.15403935185185186,0.16766789189091436
13319973,3,18,0,0.0,0.0,3,3,0.15403935185185186,0.15403935185185186
9230319,1,8,1,0.20167824074074073,0.08133434719509548,8,3,0.20167824074074073,0.3288606544777199
9230319,2,18,18,0.0,0.0,8,8,0.20167824074074073,0.20429591638070566
31119089,1,5,1,0.17284722222222224,0.12695727313006366,5,3,0.17284722222222224,0.8072987196180555
31119089,2,18,18,0.0,0.0,5,5,0.17284722222222224,0.17284722222222224
42472776,1,6,1,1.0990393518518518,0.07481575859917534,0,3,1.0994907407407408,0.27527540418836804
42472776,2,0,0,0.00045138888888888887,0.0,0,3,1.0994907407407408,1.0995447911598064
42472776,3,18,3,0.0,0.0,0,3,1.0994907407407408,1.0997898925896044
40950445,1,1,3,0.004988425925925926,0.2302468532986111,4,3,0.0062268518518518515,0.9492371057581018
40950445,2,6,4,0.0009837962962962962,0.04672767356589989,4,3,0.0062268518518518515,0.160475011754919
40950445,3,4,4,0.0002546296296296296,0.0,4,3,0.0062268518518518515,0.009970690409342448
40950445,4,18,3,0.0,0.0024108416945845994,4,3,0.0062268518518518515,0.009091504768089011
7521911,1,3,1,0.008113425925925927,0.041437623765733504,3,3,0.010347222222222223,0.22867698386863425
7521911,2,2,0,0.00034722222222222224,0.0,3,3,0.010347222222222223,0.008113425925925927
7521911,3,8,3,0.0007986111111111112,0.007439878251817491,3,3,0.010347222222222223,0.010552854537963867
7521911,4,0,3,0.0009375,0.0,3,3,0.010347222222222223,0.011932979689704047
7521911,5,3,3,0.00015046296296296297,0.0004129859253212258,3,3,0.010347222222222223,0.010834012870435361
7521911,6,18,18,0.0,0.0,3,3,0.010347222222222223,0.010347222222222223
8778780,1,3,3,1.9703935185185186,0.16432508680555555,8,0,1.9709953703703704,0.7981763599537037
